UUID,Version,Name (de),Name (en),Kategorie (original),Kategorie (en),Konformität,Laenderkennung,Typ,Referenzjahr,Gueltig bis,URL,Declaration owner,Veroeffentlicht am,Registrierungsnummer,Registrierungsstelle,UUID des Vorgängers,Bezugsgroesse,Bezugseinheit,Referenzfluss-UUID,Referenzfluss-Name,Flaechengewicht (kg/m2),Rohdichte (kg/m3),Schichtdicke (m),Umrechungsfaktor auf 1kg,biogener Kohlenstoffgehalt in kg,biogener Kohlenstoffgehalt (Verpackung) in kg,Modul,Szenario,Szenariobeschreibung,GWP,ODP,POCP,AP,EP,ADPE,ADPF,PERE,PERM,PERT,PENRE,PENRM,PENRT,SM,RSF,NRSF,FW,HWD,NHWD,RWD,CRU,MFR,MER,EEE,EET,AP (A2),GWPtotal (A2),GWPbiogenic (A2),GWPfossil (A2),GWPluluc (A2),ETPfw (A2),PM (A2),EPmarine (A2),EPfreshwater (A2),EPterrestrial (A2),HTPc (A2),HTPnc (A2),IRP (A2),SOP (A2),ODP (A2),POCP (A2),ADPF (A2),ADPE (A2),WDP (A2),source_year,impact_standard,oekobaudatProcessUuid,eolCategoryName,productId,productName,eolScenarioUnbuiltReal,eolScenarioUnbuiltPotential,technologyFactor,Fremd-/Störstoffbeschreibung,Störstoffklasse,Fremd-/Störstoffbeschreibung (EN)
d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,20.24.070,Kies (Korngröße 2/32),Gravel (Grain size 2/32),'Mineralische Baustoffe' / 'Zuschläge' / 'Sand und Kies','Mineral building products' / 'Concrete aggregates' / 'Sand and gravel','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023.0,2026.0,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,ed8da770-fc78-40cd-acb1-40f062330f9c,1.0,kg,6af85d0a-0aa5-4719-9eda-3c228762df16,Kies (2/32),,1850.0,,,,,D,,,,,,,,,,-0.0082261880668942,0.0,-0.0082261880668942,-0.0208638586724674,0.0,-0.0208638586724674,0.0,0.0,0.0,-3.9951877923e-06,-1.60582e-11,-0.0137786680383357,-6.21631282e-07,0.0,0.0,0.0,0.0,0.0,-6.4033103185e-06,-0.0015722714568952,2.43916153438e-05,-0.0015777775123841,-1.88855598549e-05,,,-2.6411071677e-06,-5.6365411e-09,-2.9216950381e-05,,,,,-1.42e-14,-6.0192049335e-06,-0.0208635130907073,-2.547338e-10,-4.50002662377e-05,2024,A2,d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,Kies / Schotter / Splitt,274,Schotter 16/32 (getrocknet),CL+,CL+,1.0,ohne Fremd-/Störstoffe,S0,Without foreign/interference substances
d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,20.24.070,Kies (Korngröße 2/32),Gravel (Grain size 2/32),'Mineralische Baustoffe' / 'Zuschläge' / 'Sand und Kies','Mineral building products' / 'Concrete aggregates' / 'Sand and gravel','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023.0,2026.0,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,ed8da770-fc78-40cd-acb1-40f062330f9c,1.0,kg,6af85d0a-0aa5-4719-9eda-3c228762df16,Kies (2/32),,1850.0,,,,,D,,,,,,,,,,-0.0082261880668942,0.0,-0.0082261880668942,-0.0208638586724674,0.0,-0.0208638586724674,0.0,0.0,0.0,-3.9951877923e-06,-1.60582e-11,-0.0137786680383357,-6.21631282e-07,0.0,0.0,0.0,0.0,0.0,-6.4033103185e-06,-0.0015722714568952,2.43916153438e-05,-0.0015777775123841,-1.88855598549e-05,,,-2.6411071677e-06,-5.6365411e-09,-2.9216950381e-05,,,,,-1.42e-14,-6.0192049335e-06,-0.0208635130907073,-2.547338e-10,-4.50002662377e-05,2024,A2,d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,Kies / Schotter / Splitt,284,Splitt 2/15,CL+,CL+,1.0,ohne Fremd-/Störstoffe,S0,Without foreign/interference substances
d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,20.24.070,Kies (Korngröße 2/32),Gravel (Grain size 2/32),'Mineralische Baustoffe' / 'Zuschläge' / 'Sand und Kies','Mineral building products' / 'Concrete aggregates' / 'Sand and gravel','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023.0,2026.0,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,ed8da770-fc78-40cd-acb1-40f062330f9c,1.0,kg,6af85d0a-0aa5-4719-9eda-3c228762df16,Kies (2/32),,1850.0,,,,,D,,,,,,,,,,-0.0082261880668942,0.0,-0.0082261880668942,-0.0208638586724674,0.0,-0.0208638586724674,0.0,0.0,0.0,-3.9951877923e-06,-1.60582e-11,-0.0137786680383357,-6.21631282e-07,0.0,0.0,0.0,0.0,0.0,-6.4033103185e-06,-0.0015722714568952,2.43916153438e-05,-0.0015777775123841,-1.88855598549e-05,,,-2.6411071677e-06,-5.6365411e-09,-2.9216950381e-05,,,,,-1.42e-14,-6.0192049335e-06,-0.0208635130907073,-2.547338e-10,-4.50002662377e-05,2024,A2,d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,Kies / Schotter / Splitt,285,Splitt 2/15 (getrocknet),CL+,CL+,1.0,ohne Fremd-/Störstoffe,S0,Without foreign/interference substances
d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,20.24.070,Kies (Korngröße 2/32),Gravel (Grain size 2/32),'Mineralische Baustoffe' / 'Zuschläge' / 'Sand und Kies','Mineral building products' / 'Concrete aggregates' / 'Sand and gravel','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023.0,2026.0,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,ed8da770-fc78-40cd-acb1-40f062330f9c,1.0,kg,6af85d0a-0aa5-4719-9eda-3c228762df16,Kies (2/32),,1850.0,,,,,D,,,,,,,,,,-0.0082261880668942,0.0,-0.0082261880668942,-0.0208638586724674,0.0,-0.0208638586724674,0.0,0.0,0.0,-3.9951877923e-06,-1.60582e-11,-0.0137786680383357,-6.21631282e-07,0.0,0.0,0.0,0.0,0.0,-6.4033103185e-06,-0.0015722714568952,2.43916153438e-05,-0.0015777775123841,-1.88855598549e-05,,,-2.6411071677e-06,-5.6365411e-09,-2.9216950381e-05,,,,,-1.42e-14,-6.0192049335e-06,-0.0208635130907073,-2.547338e-10,-4.50002662377e-05,2024,A2,d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,Kies / Schotter / Splitt,273,Schotter 16/32,CL+,CL+,1.0,ohne Fremd-/Störstoffe,S0,Without foreign/interference substances
d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,20.24.070,Kies (Korngröße 2/32),Gravel (Grain size 2/32),'Mineralische Baustoffe' / 'Zuschläge' / 'Sand und Kies','Mineral building products' / 'Concrete aggregates' / 'Sand and gravel','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023.0,2026.0,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,ed8da770-fc78-40cd-acb1-40f062330f9c,1.0,kg,6af85d0a-0aa5-4719-9eda-3c228762df16,Kies (2/32),,1850.0,,,,,D,,,,,,,,,,-0.0082261880668942,0.0,-0.0082261880668942,-0.0208638586724674,0.0,-0.0208638586724674,0.0,0.0,0.0,-3.9951877923e-06,-1.60582e-11,-0.0137786680383357,-6.21631282e-07,0.0,0.0,0.0,0.0,0.0,-6.4033103185e-06,-0.0015722714568952,2.43916153438e-05,-0.0015777775123841,-1.88855598549e-05,,,-2.6411071677e-06,-5.6365411e-09,-2.9216950381e-05,,,,,-1.42e-14,-6.0192049335e-06,-0.0208635130907073,-2.547338e-10,-4.50002662377e-05,2024,A2,d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,Kies / Schotter / Splitt,155,Kies 2/32 getrocknet,CL+,CL+,1.0,ohne Fremd-/Störstoffe,S0,Without foreign/interference substances
d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,20.24.070,Kies (Korngröße 2/32),Gravel (Grain size 2/32),'Mineralische Baustoffe' / 'Zuschläge' / 'Sand und Kies','Mineral building products' / 'Concrete aggregates' / 'Sand and gravel','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023.0,2026.0,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,ed8da770-fc78-40cd-acb1-40f062330f9c,1.0,kg,6af85d0a-0aa5-4719-9eda-3c228762df16,Kies (2/32),,1850.0,,,,,D,,,,,,,,,,-0.0082261880668942,0.0,-0.0082261880668942,-0.0208638586724674,0.0,-0.0208638586724674,0.0,0.0,0.0,-3.9951877923e-06,-1.60582e-11,-0.0137786680383357,-6.21631282e-07,0.0,0.0,0.0,0.0,0.0,-6.4033103185e-06,-0.0015722714568952,2.43916153438e-05,-0.0015777775123841,-1.88855598549e-05,,,-2.6411071677e-06,-5.6365411e-09,-2.9216950381e-05,,,,,-1.42e-14,-6.0192049335e-06,-0.0208635130907073,-2.547338e-10,-4.50002662377e-05,2024,A2,d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,Kies / Schotter / Splitt,154,Kies 2/32,CL+,CL+,1.0,ohne Fremd-/Störstoffe,S0,Without foreign/interference substances
f4461491-586a-4770-9a04-716565e58c24,20.24.070,Schotter 16/32,Crushed stone 16/32,'Mineralische Baustoffe' / 'Zuschläge' / 'Naturstein','Mineral building products' / 'Concrete aggregates' / 'Natural stone','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023.0,2026.0,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/f4461491-586a-4770-9a04-716565e58c24?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,85fc79d8-ba39-4236-993e-eeb928d9ae6f,1.0,kg,22a84efc-797a-47b2-9390-205878c35857,Schotter (16/32),,1400.0,,,,,D,,,,,,,,,,-0.0082261880668942,0.0,-0.0082261880668942,-0.0208638586724674,0.0,-0.0208638586724674,0.0,0.0,0.0,-3.9951877923e-06,-1.60582e-11,-0.0137786680383357,-6.21631282e-07,0.0,0.0,0.0,0.0,0.0,-6.4033103185e-06,-0.0015722714568952,2.43916153438e-05,-0.0015777775123841,-1.88855598549e-05,,,-2.6411071677e-06,-5.6365411e-09,-2.9216950381e-05,,,,,-1.42e-14,-6.0192049335e-06,-0.0208635130907073,-2.547338e-10,-4.50002662377e-05,2024,A2,f4461491-586a-4770-9a04-716565e58c24,Kies / Schotter / Splitt,274,Schotter 16/32 (getrocknet),CL+,CL+,1.0,ohne Fremd-/Störstoffe,S0,Without foreign/interference substances
f4461491-586a-4770-9a04-716565e58c24,20.24.070,Schotter 16/32,Crushed stone 16/32,'Mineralische Baustoffe' / 'Zuschläge' / 'Naturstein','Mineral building products' / 'Concrete aggregates' / 'Natural stone','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023.0,2026.0,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/f4461491-586a-4770-9a04-716565e58c24?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,85fc79d8-ba39-4236-993e-eeb928d9ae6f,1.0,kg,22a84efc-797a-47b2-9390-205878c35857,Schotter (16/32),,1400.0,,,,,D,,,,,,,,,,-0.0082261880668942,0.0,-0.0082261880668942,-0.0208638586724674,0.0,-0.0208638586724674,0.0,0.0,0.0,-3.9951877923e-06,-1.60582e-11,-0.0137786680383357,-6.21631282e-07,0.0,0.0,0.0,0.0,0.0,-6.4033103185e-06,-0.0015722714568952,2.43916153438e-05,-0.0015777775123841,-1.88855598549e-05,,,-2.6411071677e-06,-5.6365411e-09,-2.9216950381e-05,,,,,-1.42e-14,-6.0192049335e-06,-0.0208635130907073,-2.547338e-10,-4.50002662377e-05,2024,A2,f4461491-586a-4770-9a04-716565e58c24,Kies / Schotter / Splitt,284,Splitt 2/15,CL+,CL+,1.0,ohne Fremd-/Störstoffe,S0,Without foreign/interference substances
f4461491-586a-4770-9a04-716565e58c24,20.24.070,Schotter 16/32,Crushed stone 16/32,'Mineralische Baustoffe' / 'Zuschläge' / 'Naturstein','Mineral building products' / 'Concrete aggregates' / 'Natural stone','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023.0,2026.0,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/f4461491-586a-4770-9a04-716565e58c24?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,85fc79d8-ba39-4236-993e-eeb928d9ae6f,1.0,kg,22a84efc-797a-47b2-9390-205878c35857,Schotter (16/32),,1400.0,,,,,D,,,,,,,,,,-0.0082261880668942,0.0,-0.0082261880668942,-0.0208638586724674,0.0,-0.0208638586724674,0.0,0.0,0.0,-3.9951877923e-06,-1.60582e-11,-0.0137786680383357,-6.21631282e-07,0.0,0.0,0.0,0.0,0.0,-6.4033103185e-06,-0.0015722714568952,2.43916153438e-05,-0.0015777775123841,-1.88855598549e-05,,,-2.6411071677e-06,-5.6365411e-09,-2.9216950381e-05,,,,,-1.42e-14,-6.0192049335e-06,-0.0208635130907073,-2.547338e-10,-4.50002662377e-05,2024,A2,f4461491-586a-4770-9a04-716565e58c24,Kies / Schotter / Splitt,285,Splitt 2/15 (getrocknet),CL+,CL+,1.0,ohne Fremd-/Störstoffe,S0,Without foreign/interference substances
f4461491-586a-4770-9a04-716565e58c24,20.24.070,Schotter 16/32,Crushed stone 16/32,'Mineralische Baustoffe' / 'Zuschläge' / 'Naturstein','Mineral building products' / 'Concrete aggregates' / 'Natural stone','EN 15804+A2 (EF 3.1)',DE,generic dataset,2023.0,2026.0,https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/f4461491-586a-4770-9a04-716565e58c24?version=20.24.070,Sphera Solutions GmbH,,,Sphera Solutions GmbH,85fc79d8-ba39-4236-993e-eeb928d9ae6f,1.0,kg,22a84efc-797a-47b2-9390-205878c35857,Schotter (16/32),,1400.0,,,,,D,,,,,,,,,,-0.0082261880668942,0.0,-0.0082261880668942,-0.0208638586724674,0.0,-0.0208638586724674,0.0,0.0,0.0,-3.9951877923e-06,-1.60582e-11,-0.0137786680383357,-6.21631282e-07,0.0,0.0,0.0,0.0,0.0,-6.4033103185e-06,-0.0015722714568952,2.43916153438e-05,-0.0015777775123841,-1.88855598549e-05,,,-2.6411071677e-06,-5.6365411e-09,-2.9216950381e-05,,,,,-1.42e-14,-6.0192049335e-06,-0.0208635130907073,-2.547338e-10,-4.50002662377e-05,2024,A2,f4461491-586a-4770-9a04-716565e58c24,Kies / Schotter / Splitt,273,Schotter 16/32,CL+,CL+,1.0,ohne Fremd-/Störstoffe,S0,Without foreign/interference substances
